;Tweet;sentimen;step01;tokens;final_tokens;step02
90;"RT @indosatim3: #CollabonationTour akan tiba di Pekanbaru untuk rayakan Era Baru, Jaringan Baru IM3 ✨

Kali ini kami akan datang bersama @i…";0;rt user hashtag collabonation tour hashtag akan tiba di pekanbaru untuk rayakan era baru jaringan baru im3 kali ini kami akan datang bersama user;['rt', 'user', 'hashtag', 'collabonation', 'tour', 'hashtag', 'akan', 'tiba', 'di', 'pekanbaru', 'untuk', 'rayakan', 'era', 'baru', 'jaringan', 'baru', 'im3', 'kali', 'ini', 'kami', 'akan', 'datang', 'bersama', 'user'];['rt', 'user', 'hashtag', 'collabonation', 'tour', 'hashtag', 'akan', 'tiba', 'di', 'pekanbaru', 'untuk', 'rayakan', 'era', 'baru', 'jaringan', 'baru', 'im3', 'kali', 'ini', 'kami', 'akan', 'datang', 'bersama', 'user'];rt user hashtag collabonation tour hashtag akan tiba di pekanbaru untuk rayakan era baru jaringan baru im3 kali ini kami akan datang bersama user
91;@isyanasarasvati Penyanyi sekaligus pelawak favoritkuu..;0;user penyanyi sekaligus pelawak favoritkuu;['user', 'penyanyi', 'sekaligus', 'pelawak', 'favoritkuu'];['user', 'penyanyi', 'sekaligus', 'pelawak', 'favoritkuu'];user penyanyi sekaligus pelawak favoritkuu
92;@isyanasarasvati Pasti seru bgt nih nft isyana.. 😍;0;user pasti seru bgt nih nft isyana;['user', 'pasti', 'seru', 'bgt', 'nih', 'nft', 'isyana'];['user', 'pasti', 'seru', 'banget', 'ini', 'nft', 'isyana'];user pasti seru banget ini nft isyana
93;"RT @srikumoro: Monggo dipun waos. 
Cc: @nftkompas @isyanasarasvati
@SuperlativeSS
NFT, Dunia Digital Rasa Analog
https://t.co/ZercC7kAoP…";0;rt user monggo dipun waos cc user user user nft dunia digital rasa analog cozercc7kaop;['rt', 'user', 'monggo', 'dipun', 'waos', 'cc', 'user', 'user', 'user', 'nft', 'dunia', 'digital', 'rasa', 'analog', 'cozercc7kaop'];['rt', 'user', 'monggo', 'dipun', 'waos', 'cc', 'user', 'user', 'user', 'nft', 'dunia', 'digital', 'rasa', 'analog', 'cozercc7kaop'];rt user monggo dipun waos cc user user user nft dunia digital rasa analog cozercc7kaop
94;@priyombodo @nftkompas @isyanasarasvati @SuperlativeSS Suwun lek;0;user user user user suwun lek;['user', 'user', 'user', 'user', 'suwun', 'lek'];['user', 'user', 'user', 'user', 'suwun', 'lek'];user user user user suwun lek
95;@srikumoro @nftkompas @isyanasarasvati @SuperlativeSS Menarik dibaca;0;user user user user menarik dibaca;['user', 'user', 'user', 'user', 'menarik', 'dibaca'];['user', 'user', 'user', 'user', 'menarik', 'dibaca'];user user user user menarik dibaca
96;@isyanasarasvati Wow keren kak . Semangat terus berkarya;1;user wow keren kak semangat terus berkarya;['user', 'wow', 'keren', 'kak', 'semangat', 'terus', 'berkarya'];['user', 'wow', 'keren', 'kak', 'semangat', 'terus', 'berkarya'];user wow keren kak semangat terus berkarya
97;"Monggo dipun waos. 
Cc: @nftkompas @isyanasarasvati
@SuperlativeSS
NFT, Dunia Digital Rasa Analog… https://t.co/vJjwq1RkSn";0;monggo dipun waos cc user user user nft dunia digital rasa analog covjjwq1rksn;['monggo', 'dipun', 'waos', 'cc', 'user', 'user', 'user', 'nft', 'dunia', 'digital', 'rasa', 'analog', 'covjjwq1rksn'];['monggo', 'dipun', 'waos', 'cc', 'user', 'user', 'user', 'nft', 'dunia', 'digital', 'rasa', 'analog', 'covjjwq1rksn'];monggo dipun waos cc user user user nft dunia digital rasa analog covjjwq1rksn
98;"@isyanasarasvati Pasti keren &amp; laris nih";0;user pasti keren laris nih;['user', 'pasti', 'keren', 'laris', 'nih'];['user', 'pasti', 'keren', 'laris', 'ini'];user pasti keren laris ini
99;"#CollabonationTour akan tiba di Pekanbaru untuk rayakan Era Baru, Jaringan Baru IM3 ✨

Kali ini kami akan datang be… https://t.co/YyfgWD5xeo";0;hashtag collabonation tour hashtag akan tiba di pekanbaru untuk rayakan era baru jaringan baru im3 kali ini kami akan datang be coyyfgwd5xeo;['hashtag', 'collabonation', 'tour', 'hashtag', 'akan', 'tiba', 'di', 'pekanbaru', 'untuk', 'rayakan', 'era', 'baru', 'jaringan', 'baru', 'im3', 'kali', 'ini', 'kami', 'akan', 'datang', 'be', 'coyyfgwd5xeo'];['hashtag', 'collabonation', 'tour', 'hashtag', 'akan', 'tiba', 'di', 'pekanbaru', 'untuk', 'rayakan', 'era', 'baru', 'jaringan', 'baru', 'im3', 'kali', 'ini', 'kami', 'akan', 'datang', 'be', 'coyyfgwd5xeo'];hashtag collabonation tour hashtag akan tiba di pekanbaru untuk rayakan era baru jaringan baru im3 kali ini kami akan datang be coyyfgwd5xeo
